id,name,sector_id,country_id,production_cost_function,abatement_cost_function,actual_output,emission,profit,BAU_output,BAU_emission,BAU_profit,exp7_free_allocation,abatement,permits_costs,sales,permits_used,free_permits,permits_bought
1,S1_F1,1,1,0,x**3 + 3*x**2 + 2*x,324.2090854190903,322.15667519002074,10541.0813654574,333.3336618923573,333.3336618923573,11111.1330150568,0,25.3875314069086,1719.5826528123193,12286.0515496766,322.15667519002074,258.35411494333755,63.802560246683186
2,S1_F2,1,1,0,2*x**3 + 2*x**2 + 3*x,324.2090854190901,322.5168204315117,10536.2655967428,333.33187813644156,333.33187813644156,11111.0140981968,0,20.4968007683898,1729.2891521654253,12286.0515496766,322.5168204315117,258.35411494333744,64.16270548817425
3,S1_F3,1,2,0,3*x**3 + x**2 + 4*x,324.2090854190902,322.7194072900629,10533.2070819872,333.33199591830333,333.33199591830333,11111.0219502880,0,18.0952705616802,1734.7491971276563,12286.0515496766,322.7194072900629,258.3541149433375,64.36529234672543
4,S1_F4,1,3,0,2*x**3 + 2*x**2 + 2*x,324.2090854190902,322.47608981369075,10537.9782946006,333.33348136345546,333.33348136345546,11111.1209797881,0,19.8818592321337,1728.1913958438527,12286.0515496766,322.47608981369075,258.3541149433375,64.12197487035326
5,S1_F5,1,4,0,x**3 + 3*x**2 + 3*x,324.2090854190902,322.21177413862006,10539.0564210691,333.334491344721,333.334491344721,11111.1883120044,0,25.9274696161702,1721.0676589912778,12286.0515496766,322.21177413862006,258.3541149433375,63.857659195282565
6,S2_F1,2,1,0,3*x**3 + 2*x**2 + x,486.22589497561376,484.7355470352176,11845.0849227739,500.0004928385358,500.0004928385358,12500.0246419389,0,15.8634226931180,1969.0306646658937,13829.9790101329,484.7355470352176,411.67758881236045,73.05795822285717
7,S2_F2,2,1,0,2*x**3 + x**2 + 2*x,486.22589497561364,484.34649666795724,11850.8663619502,499.99781720466245,499.99781720466245,12499.8908604714,0,20.5675229689235,1958.5451252138012,13829.9790101329,484.34649666795724,411.6775888123604,72.66890785559684
8,S2_F3,2,2,0,x**3 + x**2 + 3*x,486.22589497561364,483.71405943372264,11858.7863027605,499.997993877455,499.997993877455,12499.8996940740,0,29.6927930839484,1941.4999142884456,13829.9790101329,483.71405943372264,411.6775888123604,72.03647062136224
9,S2_F4,2,3,0,x**3 + 3*x**2 + x,486.22589497561364,484.1193628998892,11852.7888562890,500.00022204518314,500.00022204518314,12500.0111022616,0,24.7666526829206,1952.4235011609796,13829.9790101329,484.1193628998892,411.6775888123604,72.44177408752881
10,S2_F5,2,4,0,x**3 + 2*x**2 + 2*x,486.2258949756138,483.9325527424143,11855.4231777515,500.0017370170818,500.0017370170818,12500.0868510050,0,27.1671684577422,1947.3886639237098,13829.9790101329,483.9325527424143,411.6775888123605,72.2549639300538
11,S3_F1,3,3,0,x**3 + x**2 + x,619.9224386083678,617.295763048605,7729.22112170048,833.3341547308933,833.3341547308933,13888.9162688210,0,27.6486497567608,15804.99110036498,23561.8608718222,617.295763048605,30.875043329127692,586.4207197194772
12,S3_F2,3,4,0,x**3 + 2*x**2 + x,619.9224386083679,617.5733158090355,7723.04004759502,833.329695341104,833.329695341104,13888.7676227459,0,26.3492260541233,15812.471598173082,23561.8608718222,617.5733158090355,30.8750433291277,586.6982724799078
13,S3_F3,3,5,0,2*x**3 + x**2 + x,619.9224386083679,618.0027092086351,7718.06154196740,833.3299897957584,833.3299897957584,13888.7774378600,0,19.7548819664872,15824.04444788834,23561.8608718222,618.0027092086351,30.8750433291277,587.1276658795074
14,S3_F4,3,2,0,x**3 + x**2 + 2*x,619.9224386083678,617.3526151571953,7726.62278031753,833.3337034086384,833.3337034086384,13888.9012247351,0,28.7147344508004,15806.523357053893,23561.8608718222,617.3526151571953,30.875043329127692,586.4775718280675
15,S3_F5,3,1,0,2*x**3 + 2*x**2 + x,619.9224386083678,618.1494999080932,7714.65481644678,833.3362283618026,833.3362283618026,13888.9853900055,0,19.2053596593242,15828.000695716111,23561.8608718222,618.1494999080932,30.875043329127692,587.2744565789654
16,S4_F1,4,1,0,x**3 + 4*x**2 + 3*x,274.67787303768233,272.88684201052473,11341.5117694871,277.77805157696446,277.77805157696446,11574.0968906842,0,23.9495168942819,718.0565206603194,12083.5178070417,272.88684201052473,246.24442133651598,26.642420674008747
17,S4_F2,4,1,0,2*x**3 + 3*x**2 + 4*x,274.67787303768233,273.15914304845455,11338.1217634208,277.7765651137014,277.7765651137014,11573.9730189550,0,20.0005676059224,725.3954760150343,12083.5178070417,273.15914304845455,246.24442133651598,26.91472171193857
18,S4_F3,4,2,0,x**3 + 5*x**2 + 2*x,274.6778730376824,273.01362601530064,11340.2576714896,277.77666326525275,277.77666326525275,11573.9811982166,0,21.7865799887774,721.4735555633658,12083.5178070417,273.01362601530064,246.24442133651604,26.769204678784604
19,S4_F4,4,3,0,3*x**3 + 3*x**2 + 3*x,274.6778730376824,273.3461529959953,11336.6811845245,277.7779011362129,277.7779011362129,11574.0843539459,0,16.4009245980486,730.4356979191544,12083.5178070417,273.3461529959953,246.24442133651604,27.101731659479242
20,S4_F5,4,4,0,4*x**3 + 2*x**2 + 2*x,274.67787303768233,273.39296131213536,11337.4631817331,277.77874278726756,277.77874278726756,11574.1544916712,0,14.3573672243416,731.6972580843064,12083.5178070417,273.39296131213536,246.24442133651598,27.14853997561937
21,S5_F1,5,1,0,x**3 + 4*x**2 + 5*x,244.31927834185342,242.63682222696713,11959.2295058019,250.0002464192679,250.0002464192679,12500.0246419389,0,24.4973737230880,1620.1468535469369,13603.8737330720,242.63682222696713,182.52367962062291,60.11314260634421
22,S5_F2,5,2,0,2*x**3 + 5*x**2 + 4*x,244.31927834185345,243.02664949000697,11955.3757597585,249.99890860233123,249.99890860233123,12499.8908604714,0,17.8446417110692,1630.6533316024381,13603.8737330720,243.02664949000697,182.52367962062294,60.50296986938403
23,S5_F3,5,3,0,2*x**3 + 3*x**2 + 3*x,244.3192783418534,242.7596819166183,11960.8528582985,249.9989969387275,249.9989969387275,12499.8996940740,0,19.5627529915924,1623.4581217818989,13603.8737330720,242.7596819166183,182.5236796206229,60.236002295995405
24,S5_F4,5,4,0,3*x**3 + 4*x**2 + 2*x,244.3192783418534,243.04037325723974,11957.4749959935,250.00011102259157,250.00011102259157,12500.0111022616,0,15.3755276534045,1631.0232094251078,13603.8737330720,243.04037325723974,182.5236796206229,60.51669363661685
25,S5_F5,5,5,0,4*x**3 + 3*x**2 + x,244.31927834185345,243.07758957264483,11958.3227234423,250.0008685085409,250.0008685085409,12500.0868510050,0,13.5247600425209,1632.0262495872055,13603.8737330720,243.07758957264483,182.52367962062294,60.55390995202188
26,S6_F1,6,5,0,x**3 + x**2 + x,884.1395898629024,881.5129143031394,7860.17266752697,1333.3311095030633,1333.3311095030633,17777.7184756867,0,27.6486497567669,23758.205153601382,31646.0264708851,881.5129143031394,0.0,881.5129143031394
27,S6_F2,6,4,0,x**3 + 2*x**2 + x,884.1395898629024,881.7904670635703,7853.99159342151,1333.3281194707783,1333.3281194707783,17777.6387417148,0,26.3492260541172,23765.685651409494,31646.0264708851,881.7904670635703,0.0,881.7904670635703
28,S6_F3,6,3,0,2*x**3 + x**2 + x,884.1395898629024,882.2198604631694,7849.01308779389,1333.3312070588338,1333.3312070588338,17777.7210771697,0,19.7548819664933,23777.25850112474,31646.0264708851,882.2198604631694,0.0,882.2198604631694
29,S6_F4,6,2,0,x**3 + x**2 + 2*x,884.1395898629025,881.5697664117276,7857.57432614403,1333.3358417348077,1333.3358417348077,17777.8446685467,0,28.7147344508648,23759.73741029024,31646.0264708851,881.5697664117276,0.0,881.5697664117276
30,S6_F5,6,1,0,2*x**3 + 2*x**2 + x,884.1395898629024,882.3666511626278,7845.60636227328,1333.3368611162587,1333.3368611162587,17777.8718521136,0,19.2053596593242,23781.21474895252,31646.0264708851,882.3666511626278,0.0,882.3666511626278
