Emission Cap,Permit Price,Outputs,Emissions,Profits
368.42105263157896,126.41976354643703,"(51.67134178467835, 4.327659058087782, 4.052523030010587, 63.9738617073243, 63.9738617073243, 68.15205021430171, 67.64950664352527, 67.6476838691487, 67.70896897495089)","(2.0009999979999975, 2.000999998, 2.000999998, 59.077304374672266, 41.96496421907151, 62.74635135124507, 64.62035727828071, 65.47832316852013, 65.45471461505583)","(2764.735232551528, 123.9684924803622, 129.73185157885513, 845.6659058401028, 1973.5324088861944, 904.8934941070759, 2204.3819187407203, 2138.210997362372, 2146.823696386023)"
410.5263157894737,121.41754268668592,"(51.67134178467835, 4.327659058087782, 4.052523030010587, 77.34489251697599, 77.34489251697599, 77.34489251697599, 69.9029668308864, 70.04224636756612, 70.13965331594213)","(2.0009999979999975, 2.000999998, 2.000999998, 72.60480102600022, 56.44583725934186, 72.11843706736511, 66.94889170936865, 67.87288566682403, 67.93005015436705)","(2748.897530109221, 131.81314576929398, 137.7141339856786, 1009.5041332949237, 2054.1929469907977, 1039.6948421744978, 2355.044378657296, 2298.7523685379692, 2306.317022889083)"
452.63157894736844,116.87006917782128,"(51.67134178467835, 4.327659058087782, 4.052523030010587, 87.7777321537076, 87.7777321537076, 87.7777321537076, 72.15829440485848, 72.1698370885417, 72.06244763849537)","(2.0009999979999975, 2.000999998, 2.000999998, 83.03764066273183, 66.87867689607347, 82.724576848888, 69.20421928329324, 70.04250929268397, 69.8528444769203)","(2734.4996187980323, 138.9446487592319, 144.97075435551807, 1185.853857071745, 2157.0602111080357, 1213.9067905824145, 2509.1919509273157, 2450.673934988883, 2449.217107289707)"
494.7368421052632,111.86784831807017,"(52.67134178367835, 4.327659058087782, 4.052523030010587, 99.61782917811763, 99.61782917811763, 99.61782917811763, 74.36518391842668, 74.39403322129508, 74.3897033771027)","(3.000999997000001, 2.000999998, 2.000999998, 95.02920329740046, 79.77265032611233, 94.56467387329803, 71.484321872637, 72.26670542543735, 72.2238672052539)","(2720.7556763741104, 146.35653614278775, 152.54778445974569, 1405.1078788620093, 2299.2487117688365, 1431.2762705542214, 2672.5923476123444, 2618.6806743308744, 2622.0724474006593)"
536.8421052631579,101.86340659856796,"(53.67134178267835, 10.2138231807529, 10.2138231807529, 120.43872269922272, 128.30467989301465, 128.30467989301465, 158.60636496185373, 6.346963826510376, 6.394693647591527)","(4.000999995999997, 7.887164120665118, 8.201202730648331, 115.99672253773298, 109.46023310532826, 123.41907925006028, 155.79690150479357, 4.000999995999999, 4.000999995999999)","(2635.00001585964, 171.08358875280538, 175.88161914389258, 1817.1216346467193, 2662.492411524983, 1937.3319796238206, 10279.036648842544, 560.9998759787444, 567.0596188637628)"
578.9473684210527,101.86340659856796,"(53.67134178267835, 10.2138231807529, 10.2138231807529, 120.43872269922272, 128.30467989301465, 128.30467989301465, 7.267013457373799, 159.46256655667176, 6.394693647591527)","(4.000999995999997, 7.887164120665118, 8.201202730648331, 115.99672253773298, 109.46023310532826, 123.41907925006028, 4.000999995999999, 157.3764571852279, 4.000999995999999)","(2635.00001585964, 171.08358875280538, 175.88161914389258, 1817.1216346467193, 2662.492411524983, 1937.3319796238206, 657.8990282564644, 10171.498754567248, 562.5845025114679)"
621.0526315789474,100.49916454590857,"(52.9143547912282, 14.929537085259945, 14.014254068824712, 128.30467989301465, 128.30467989301465, 128.30467989301465, 7.267013457373799, 160.35951164943216, 6.394693647591527)","(4.000999995999997, 12.602878025172163, 12.001633618720144, 123.8626797315249, 110.4105016445022, 123.58107830767403, 4.000999995999999, 158.2734022779883, 4.000999995999999)","(2587.480819175788, 179.3590764054134, 183.17756540251276, 1979.7567873295388, 2708.0389541519594, 2001.3818737253182, 659.7876774879929, 10365.229538998192, 564.9019280157604)"
663.1578947368421,97.31593308970332,"(50.626208888137306, 24.766079242388574, 24.766079242395357, 136.6843691592925, 136.6843691592406, 136.68436915934393, 92.34247577782988, 42.91011354095522, 92.42445269128221)","(4.000999995999997, 22.51657105148485, 22.753458792288754, 132.38430947854897, 118.7901909107824, 131.96076757395423, 92.29868431796675, 65.04852176121602, 91.21879740396679)","(2478.493976975169, 211.297296164509, 217.228864042945, 2157.619054031946, 2842.960684377891, 2178.228565490015, 4357.218444139083, 2342.479695965829, 4202.3896927838805)"
705.2631578947369,95.042196335271,"(51.626208887137324, 31.89794331259839, 29.942381496283975, 145.6113425005262, 145.6113425005262, 136.68436915929485, 81.82756810746719, 81.84284457537022, 81.6723477960217)","(5.000999994999994, 29.648435121689914, 27.929761046179408, 141.31128281978033, 127.71716425201376, 131.96076757395423, 79.08773423427218, 79.79715492893627, 79.5914620402759)","(2414.0365474541945, 246.19188112924536, 246.53801225639836, 2333.959177596976, 2988.391360912066, 2228.0213834573515, 3272.526080597252, 3230.694601831531, 3228.061737759226)"
747.3684210526317,91.85896487906575,"(52.62620888613733, 38.56485545816618, 41.08356010355162, 145.6113425005262, 155.12134484087642, 145.6113425005262, 82.91167508334057, 83.14982472062705, 83.33381021545944)","(6.000999993999997, 36.31534726725771, 39.10910439841292, 141.31128281978033, 138.1295154747841, 141.0443679921357, 80.17184121014556, 81.14377157699418, 81.25292445971364)","(2321.910818227454, 297.75317245375027, 315.37676446178966, 2506.052128004588, 3265.5970749619287, 2524.668899716498, 3389.554128600752, 3355.598112919147, 3363.6275349394173)"
789.4736842105264,87.31149137020111,"(56.370236927754746, 52.9143547912282, 52.9143547912282, 155.12134484087642, 165.25245376608015, 165.25245376608015, 7.267013457373799, 6.301508841358116, 171.79051594259917)","(12.603473526534628, 50.73943882507092, 50.9398990860895, 150.95869011321415, 149.11747009362216, 160.68547925768965, 4.000999995999999, 4.000999995999999, 169.75084637889972)","(2198.212338812971, 404.9047413275074, 413.11957639899845, 2714.8877246022753, 3432.0459997811713, 2892.573605918097, 669.8104618661637, 574.4950011589801, 12323.368575600083)"
831.578947368421,86.85674401931465,"(56.370236927754746, 52.9143547912282, 52.9143547912282, 155.12134484087642, 165.25245376608015, 165.25245376608015, 85.22657942124388, 85.22458289240976, 85.24749459021844)","(12.603473526534628, 50.73943882507092, 50.97733943176708, 150.95869011321415, 149.11747009362216, 160.83691249190068, 82.55464946404605, 83.21852974877689, 83.20782502651899)","(2201.380313419956, 425.57210045215595, 433.8840268700468, 2782.124968611905, 3498.353811965587, 2964.1908020602596, 3586.8110881612984, 3550.3118784717235, 3554.3931005530367)"
873.6842105263158,84.12825991399586,"(60.05182554182782, 60.05182554182782, 60.05182554182782, 176.04523429126368, 165.25245376608015, 165.25245376608015, 86.45994741015863, 86.39488039552428, 86.3165132153109)","(18.968265438276198, 57.949028011308656, 58.114810182366696, 172.01559416382443, 149.11747009362216, 160.83691249190068, 83.7880174529608, 84.42769570856719, 84.27684365161146)","(2144.52038062745, 499.38478771086017, 508.266570226625, 3214.6275274658315, 3550.4282776714, 3048.241580072977, 3699.7437772170915, 3662.024969323533, 3659.1450533025154)"
915.7894736842106,81.39977580867708,"(63.9738617073243, 68.15205021430171, 68.15205021430171, 176.04523429126368, 176.04523429126368, 176.04523429126368, 87.44870460564127, 87.49355228697442, 87.56477625216655)","(22.890301603772684, 66.04925268378256, 66.2150348548406, 172.01559416382443, 160.72388807379505, 171.6296930170842, 84.8429954035762, 85.52636760001732, 85.56550608975488)","(2085.4728696000197, 574.6457890968015, 583.9798430053063, 3294.359094295149, 3780.567059635427, 3309.310686816307, 3801.187118220688, 3771.2257039602473, 3778.251645009759)"
957.8947368421053,79.12603905424476,"(72.60311987306747, 72.60311987306747, 72.60311987306747, 176.04523429126368, 176.04523429126368, 187.54290076821835, 88.3598936989905, 88.36042948242192, 88.50931625230892)","(34.03826441490135, 70.57004903023243, 70.70283585782003, 172.01559416382443, 160.72388807379505, 183.27377107356799, 85.75418449692543, 86.39324479529903, 86.51004608996558)","(2072.7534673572573, 621.0314869272739, 630.7848388774479, 3475.0607238141115, 3935.5943219972437, 3702.029496606422, 3898.287834530952, 3866.8367027568875, 3876.7612246162753)"
1000.0,75.94280759803951,"(77.34489251697599, 77.34489251697599, 82.39635477786521, 187.54290076821835, 187.54290076821835, 187.54290076821835, 89.50422825191153, 90.11888182111004, 89.61559476478254)","(38.78003705880982, 75.31182167414094, 80.49607076261778, 183.64202438066516, 172.99416302753815, 183.27377107356799, 86.96309812684345, 88.18981299793724, 87.65592399158406)","(2055.7020485299277, 720.2689740760212, 770.5681511309194, 3828.9759968416447, 4254.296074275627, 3842.2313359321824, 4024.170518869045, 4022.253078058983, 3997.4823079702182)"
1000.0,75.94280759803951,"(77.34489251697599, 77.34489251697599, 82.39635477786521, 187.54290076821835, 187.54290076821835, 187.54290076821835, 89.75274653456367, 89.79825072202988, 89.73805393867977)","(38.78003705880982, 75.31182167414094, 80.49607076261778, 183.64202438066516, 172.99416302753815, 183.27377107356799, 87.2116164204193, 87.86918189885708, 87.77838316548129)","(2055.7020485299277, 720.2689740760212, 770.5681511309194, 3828.9759968416447, 4254.296074275627, 3842.2313359321824, 4028.7495654789846, 3997.1909550075507, 4000.704994484395)"
1473.6842105263158,46.38422979041934,"(145.6113425005262, 145.6113425005262, 145.6113425005262, 257.32525385607016, 257.32525385607016, 257.32525385607016, 101.38658771976047, 101.54584563658084, 101.53884426578136)","(122.36359542289372, 144.00573307583144, 143.917270517391, 254.21759315511528, 247.1972471973835, 253.95372976313683, 99.20067636596102, 99.8304536862129, 99.80083512713028)","(2659.4370549101964, 2173.353520438314, 2184.715092672857, 7138.7397244251715, 7301.0960745563425, 7144.286086211108, 5345.459993268174, 5339.601770849475, 5341.800081332249)"
1947.3684210526317,16.825651982799172,"(212.84004515168886, 212.84004515168886, 212.84004515168886, 331.42696112607223, 331.42696112607223, 331.42696112607223, 112.5976490636902, 112.56090275980043, 112.41775637237231)","(204.3919415787298, 211.80430093114597, 211.51922999637597, 329.38954186461854, 326.76628558118915, 329.32416359555305, 111.02023764117621, 111.23075539708904, 111.05070679013436)","(4541.358132241831, 4482.476355528249, 4488.627618873138, 11319.742167602211, 11339.881279196774, 11320.528897042002, 6860.104123143401, 6854.232965595607, 6850.311663768638)"
2421.0526315789475,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
2894.7368421052633,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
3368.4210526315787,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
3842.1052631578946,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
4315.78947368421,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
4789.473684210527,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
5263.157894736842,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
5736.8421052631575,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
6210.526315789473,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
6684.210526315789,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
7157.894736842105,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
7631.578947368421,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
8105.263157894737,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
8578.947368421053,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
9052.631578947368,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
9526.315789473683,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
